,n_trees,max_depth,n_estimators,subportion,n_samples,n_runs,mean_prediction,variance_prediction
0,20,3,30,0.5,30,10,"tf.Tensor(
[[-5.4292385e-03]
 [-5.4292385e-03]
 [-5.4292385e-03]
 ...
 [ 9.7378969e+00]
 [ 9.7378969e+00]
 [ 9.7378969e+00]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.14342149]
 [0.14342149]
 [0.14342149]
 ...
 [0.43777272]
 [0.43777272]
 [0.43777272]], shape=(1700, 1), dtype=float32)"
1,20,3,30,0.5,15,10,"tf.Tensor(
[[3.9981757e-03]
 [3.9981757e-03]
 [3.9981757e-03]
 ...
 [9.7918053e+00]
 [9.7918053e+00]
 [9.7918053e+00]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1482485]
 [0.1482485]
 [0.1482485]
 ...
 [0.5088332]
 [0.5088332]
 [0.5088332]], shape=(1700, 1), dtype=float32)"
2,20,3,30,0.5,10,10,"tf.Tensor(
[[0.03480231]
 [0.03480231]
 [0.03480231]
 ...
 [9.9509115 ]
 [9.9509115 ]
 [9.9509115 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.12307968]
 [0.12307968]
 [0.12307968]
 ...
 [0.50141835]
 [0.50141835]
 [0.50141835]], shape=(1700, 1), dtype=float32)"
3,20,3,30,0.5,30,20,"tf.Tensor(
[[-0.01422982]
 [-0.01422982]
 [-0.01422982]
 ...
 [ 9.865459  ]
 [ 9.865459  ]
 [ 9.865459  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.12723479]
 [0.12723479]
 [0.12723479]
 ...
 [0.38084802]
 [0.38084802]
 [0.38084802]], shape=(1700, 1), dtype=float32)"
4,20,3,30,0.5,15,20,"tf.Tensor(
[[5.8581005e-03]
 [5.8581005e-03]
 [5.8581005e-03]
 ...
 [9.5586510e+00]
 [9.5586510e+00]
 [9.5586510e+00]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10905865]
 [0.10905865]
 [0.10905865]
 ...
 [0.4576737 ]
 [0.4576737 ]
 [0.4576737 ]], shape=(1700, 1), dtype=float32)"
5,20,3,30,0.5,10,20,"tf.Tensor(
[[0.01253704]
 [0.01253704]
 [0.01253704]
 ...
 [9.751583  ]
 [9.751583  ]
 [9.751583  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1151682]
 [0.1151682]
 [0.1151682]
 ...
 [0.564666 ]
 [0.564666 ]
 [0.564666 ]], shape=(1700, 1), dtype=float32)"
6,20,3,30,0.5,30,35,"tf.Tensor(
[[-7.576231e-04]
 [-7.576231e-04]
 [-7.576231e-04]
 ...
 [ 9.775282e+00]
 [ 9.775282e+00]
 [ 9.775282e+00]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13850614]
 [0.13850614]
 [0.13850614]
 ...
 [0.37742642]
 [0.37742642]
 [0.37742642]], shape=(1700, 1), dtype=float32)"
7,20,3,30,0.5,15,35,"tf.Tensor(
[[0.05681354]
 [0.05681354]
 [0.05681354]
 ...
 [9.839748  ]
 [9.839748  ]
 [9.839748  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1343896]
 [0.1343896]
 [0.1343896]
 ...
 [0.3531063]
 [0.3531063]
 [0.3531063]], shape=(1700, 1), dtype=float32)"
8,20,3,30,0.5,10,35,"tf.Tensor(
[[0.01156088]
 [0.01156088]
 [0.01156088]
 ...
 [9.735703  ]
 [9.735703  ]
 [9.735703  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1365601]
 [0.1365601]
 [0.1365601]
 ...
 [0.383519 ]
 [0.383519 ]
 [0.383519 ]], shape=(1700, 1), dtype=float32)"
9,20,3,30,0.7,30,10,"tf.Tensor(
[[0.07370197]
 [0.07370197]
 [0.07370197]
 ...
 [9.885736  ]
 [9.885736  ]
 [9.885736  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.07803187]
 [0.07803187]
 [0.07803187]
 ...
 [0.25971553]
 [0.25971553]
 [0.25971553]], shape=(1700, 1), dtype=float32)"
