,y_test,mean_predict,predicted_uncertainty
0,273700.0,312351.56,13838.807
1,66900.0,78135.67,15792.423
2,258700.0,192267.25,5868.2188
3,183400.0,194073.67,4412.804
4,265600.0,257612.95,10016.541
5,113200.0,152971.58,8782.814
6,137500.0,165338.31,9822.27
7,65000.0,131945.31,10379.75
8,140600.0,139726.12,7245.7896
9,212500.0,252143.66,15228.909
10,500001.0,297600.2,20855.723
11,123800.0,131784.36,6409.2905
12,247200.0,292650.12,11260.232
13,78200.0,93206.984,12092.001
14,201100.0,205149.81,9038.721
15,93000.0,102592.77,7972.4136
16,185900.0,169554.03,7619.2773
17,233300.0,206220.92,9282.964
18,122500.0,142292.73,10376.229
19,457500.0,256834.67,17017.834
20,311100.0,267081.47,6866.786
21,162800.0,177184.1,13546.536
22,100600.0,143427.97,13518.349
23,95800.0,104849.195,8665.372
24,187800.0,239801.05,11907.48
25,183800.0,220827.6,5218.203
26,53200.0,80020.3,16691.887
27,219400.0,227216.7,8996.015
28,101300.0,114205.92,8457.95
29,366100.0,275083.7,28062.723
30,104800.0,160277.03,7027.5054
31,176700.0,126009.46,9720.453
32,397500.0,339244.4,13519.607
33,103600.0,115126.984,11533.564
34,147500.0,161541.88,9681.111
35,216100.0,175475.02,7491.16
36,369700.0,373173.3,25155.309
37,226700.0,199995.03,7984.962
38,186600.0,185100.7,8645.339
39,167300.0,210246.97,12133.556
40,358800.0,297911.88,9620.807
41,224600.0,261964.83,13586.228
42,247300.0,232741.7,4501.2573
43,43500.0,99719.58,9565.659
44,169500.0,173228.67,8165.853
45,267900.0,207266.5,5243.2124
46,113300.0,157690.11,7244.6104
47,181600.0,229038.47,11882.932
48,125000.0,169659.55,13347.719
49,500001.0,461748.5,29090.082
50,217300.0,276654.34,14459.86
51,400000.0,291543.8,7064.766
52,405800.0,272276.7,8661.434
53,173600.0,216636.84,7425.247
54,109800.0,171401.2,12249.659
55,167600.0,196496.72,5170.1313
56,216900.0,161017.53,8775.418
57,52600.0,79834.7,14913.634
58,74200.0,87126.59,10742.917
59,166100.0,103125.75,9042.166
60,416700.0,349864.16,26281.441
61,210000.0,179108.47,7609.956
62,123800.0,150658.75,5275.1616
63,97700.0,159792.33,15124.561
64,49500.0,94177.95,11233.102
65,50500.0,80352.14,14659.11
66,178300.0,220150.28,5591.521
67,500001.0,285554.06,18469.451
68,269500.0,217585.08,8674.562
69,182400.0,284148.34,10902.521
70,186500.0,148681.84,6430.745
71,351400.0,262747.25,12846.662
72,208300.0,182030.72,7400.524
73,91700.0,107869.15,8930.307
74,84700.0,156920.77,15030.458
75,149900.0,202350.53,8060.2056
76,402500.0,202627.22,13156.808
77,131300.0,202475.34,9858.225
78,259600.0,255887.6,8374.914
79,190100.0,215458.75,4090.4275
80,96300.0,120005.8,12248.406
81,500001.0,302193.9,32511.945
82,465800.0,282330.25,19791.729
83,295200.0,195273.33,5528.4663
84,201800.0,220701.17,6981.0654
85,166700.0,243598.1,17345.67
86,161200.0,185260.78,7801.1113
87,315400.0,226797.03,9650.223
88,91300.0,117729.31,9365.764
89,113800.0,189424.25,15356.626
90,104400.0,122196.75,7508.3525
91,160700.0,178139.8,6684.8037
92,427300.0,341091.2,28816.377
93,257700.0,195994.11,13533.191
94,230600.0,192319.4,4965.953
95,61200.0,81659.7,13606.598
96,500001.0,461225.6,28856.898
97,244800.0,249841.7,10084.253
98,285500.0,344599.53,14565.48
99,121500.0,185125.11,14337.137
100,435100.0,343272.2,38610.86
101,141100.0,154587.33,10670.418
102,95300.0,100554.484,11258.201
103,177500.0,163738.4,7791.6016
104,101200.0,125874.48,9109.952
105,53900.0,76707.52,17355.422
106,148800.0,179484.34,9855.109
107,132200.0,187762.98,9919.503
108,268800.0,196737.47,10963.847
109,423700.0,370813.94,30107.602
110,113500.0,128361.02,8122.2334
111,436400.0,291530.25,36781.816
112,122800.0,186222.89,11926.996
113,65000.0,100721.14,13496.214
114,500001.0,196291.94,4809.8774
115,223900.0,270392.66,14038.782
116,393000.0,365962.7,11761.046
117,123800.0,138423.4,13497.12
118,156900.0,137604.62,13937.737
119,407500.0,226696.95,7559.5137
120,117900.0,156722.39,8448.864
121,81100.0,102302.82,11296.803
122,272200.0,201626.28,4759.6147
123,179300.0,219181.8,7329.006
124,280800.0,285701.06,10579.572
125,226500.0,165233.3,7104.0225
126,74100.0,148966.84,12785.518
127,175000.0,155712.05,8562.5205
128,500001.0,401991.66,49678.766
129,423300.0,296698.7,16166.675
130,239200.0,217044.28,5885.4897
131,149400.0,103364.195,9426.061
132,47500.0,88535.48,11380.946
133,108600.0,96744.78,11793.001
134,182900.0,167323.38,6158.2505
135,228100.0,160117.88,6232.763
136,98600.0,132398.31,6380.657
137,500001.0,305974.25,35020.86
138,240900.0,205282.7,7680.3027
139,143100.0,211333.45,8851.189
140,285400.0,208350.19,3551.1133
141,137500.0,204489.27,9457.432
142,353800.0,340546.56,35915.355
143,273600.0,283986.44,10770.579
144,91700.0,154875.83,13712.134
145,279300.0,288865.4,10215.606
146,244700.0,267899.12,8567.734
147,190500.0,197363.72,6906.674
148,244000.0,199300.16,8280.963
149,121300.0,154750.84,8840.805
150,259800.0,223535.5,7003.9316
151,402900.0,394552.16,25208.139
152,228200.0,213531.16,10276.327
153,162000.0,225279.38,10462.31
154,192400.0,199735.3,12040.589
155,159700.0,207199.25,14874.63
156,265000.0,261075.05,17823.852
157,131300.0,162556.6,6538.721
158,185300.0,231373.8,10053.002
159,182500.0,108682.27,8044.6865
160,500001.0,474457.1,31875.14
161,157800.0,205025.1,8823.897
162,183800.0,246620.6,8921.753
163,282000.0,331260.34,17283.752
164,178200.0,214120.12,6893.5405
165,166700.0,122221.31,9538.891
166,129300.0,110143.33,6483.5444
167,500001.0,418359.6,23532.13
168,256300.0,304929.56,16489.598
169,352400.0,392356.2,13972.522
170,192600.0,202613.58,9440.62
171,173100.0,196460.55,5577.7
172,170400.0,197030.16,7478.8247
173,208100.0,169502.56,6141.8545
174,241400.0,240632.47,7680.335
175,126500.0,163132.58,6605.309
176,249400.0,289664.56,11076.492
177,259800.0,197865.84,5665.277
178,247600.0,247739.4,12400.898
179,275000.0,277031.7,13724.355
180,169500.0,176933.05,12793.446
181,185100.0,266956.6,15140.702
182,145500.0,139683.39,11938.159
183,226200.0,177342.95,6988.488
184,350000.0,307273.66,20715.146
185,154200.0,180271.6,9809.54
186,166300.0,182330.72,7760.693
187,312500.0,240277.84,22136.064
188,467700.0,323924.2,15285.839
189,189600.0,217744.8,10051.623
190,93800.0,110227.52,11568.478
191,113700.0,160022.25,12766.719
192,85000.0,157293.78,14771.231
193,62100.0,86294.52,16093.036
194,323800.0,215689.84,15526.117
195,162200.0,180885.56,14609.965
196,187100.0,206022.83,3686.9348
197,172800.0,212470.17,4582.9873
198,51000.0,79659.234,15159.032
199,200000.0,176597.88,8050.3247
200,112500.0,98672.33,10291.853
201,253900.0,180087.1,8768.199
202,293300.0,119360.23,6771.4287
203,382100.0,291090.56,21827.615
204,60500.0,80739.4,14930.389
205,195200.0,178734.39,9429.646
206,258200.0,274148.8,9296.111
207,58300.0,112971.77,25270.543
208,333600.0,357906.84,10863.445
209,500001.0,485159.7,36845.75
210,300300.0,273550.1,6951.6455
211,227900.0,219112.34,5482.1143
212,321300.0,286267.78,25107.105
213,258800.0,262191.97,21497.21
214,162800.0,197981.12,9097.845
215,179100.0,200062.75,6679.189
216,179200.0,176325.16,7853.737
217,158600.0,185048.48,8584.124
218,92400.0,105036.914,9492.133
219,51600.0,79523.94,15060.213
220,441900.0,364253.22,14858.565
221,200000.0,197787.16,13024.15
222,130600.0,234155.4,6488.763
223,73700.0,102157.1,9815.931
224,335500.0,283849.03,14686.495
225,111000.0,152551.9,11750.079
226,136800.0,145624.9,14760.363
227,190400.0,185147.36,5375.9976
228,284800.0,365352.44,24569.943
229,268700.0,320758.47,13134.694
230,318400.0,309410.75,15736.929
231,196600.0,280602.62,15495.625
232,87100.0,120338.77,8891.802
233,239900.0,273449.56,8559.36
234,202900.0,231705.75,7801.729
235,133700.0,143390.55,13737.53
236,128900.0,112059.29,6176.2373
237,91000.0,167842.25,9623.916
238,218900.0,220562.34,13429.301
239,217900.0,209928.4,9317.282
240,157500.0,188025.08,4659.335
241,201400.0,218147.55,4628.3555
242,164300.0,179258.86,7812.711
243,117100.0,160342.34,8500.828
244,86200.0,118625.67,7107.167
245,322900.0,291317.62,33480.37
246,351200.0,347712.66,14284.742
247,110000.0,278754.34,15471.946
248,275900.0,234595.66,10788.489
249,163200.0,163624.84,9428.014
250,270000.0,301049.06,18821.422
251,249400.0,271081.44,8829.237
252,390200.0,250986.78,6912.943
253,99100.0,119566.1,17230.666
254,91900.0,123176.3,10336.473
255,289900.0,220296.84,3492.7998
256,327500.0,304964.03,8134.423
257,171000.0,183449.98,12484.889
258,259400.0,222635.16,7714.413
259,175000.0,106204.75,8188.4937
260,131300.0,188502.78,6739.041
261,112100.0,163883.9,9976.619
262,80200.0,114264.7,9357.7295
263,189700.0,133692.36,5872.784
264,170800.0,187842.3,7273.0356
265,168500.0,143934.55,12659.521
266,126000.0,160060.19,9965.019
267,232300.0,232677.72,10688.024
268,500001.0,331413.56,31458.488
269,189800.0,171303.78,7588.3257
270,245800.0,321444.2,16941.338
271,217400.0,193861.97,7824.894
272,307100.0,256911.75,4925.7334
273,122800.0,127945.484,7692.5547
274,111400.0,145488.7,10207.604
275,155000.0,177235.03,8187.1367
276,45600.0,73954.2,18411.58
277,162500.0,201470.67,9009.788
278,243600.0,239526.58,12421.22
279,172800.0,171756.88,10964.093
280,89400.0,96224.05,9267.561
281,183000.0,196058.78,8436.571
282,62900.0,79650.52,14683.479
283,476300.0,308047.1,23491.393
284,241700.0,224797.72,16858.828
285,244500.0,314776.28,12866.455
286,88200.0,140276.58,7362.6265
287,500001.0,360384.6,31917.32
288,210100.0,154630.08,11596.462
289,78600.0,92287.3,10589.837
290,92800.0,111836.95,11341.774
291,205600.0,181562.05,6808.26
292,188100.0,227094.88,7996.2944
293,68600.0,173247.48,27526.264
294,241000.0,277544.06,11212.213
295,216600.0,334306.9,15439.776
296,70200.0,94955.24,9451.077
297,234600.0,233825.25,7226.852
298,132700.0,155222.3,10658.526
299,153400.0,157407.69,8593.951
300,101500.0,151967.6,12161.357
301,214800.0,191575.22,9165.959
302,87500.0,186003.5,7203.3984
303,116400.0,129915.71,6831.472
304,365900.0,293341.1,36012.598
305,500001.0,375665.22,26684.504
306,83400.0,173855.83,10634.867
307,230400.0,225263.88,4565.208
308,140600.0,201393.33,7805.2485
309,231300.0,168784.42,11892.395
310,134800.0,121072.23,6435.655
311,144300.0,180252.89,10424.431
312,379000.0,329796.5,17873.02
313,199300.0,211142.05,12893.72
314,123400.0,206137.19,5268.9507
315,190600.0,197671.0,6882.4253
316,500001.0,362300.9,36201.516
317,461100.0,279915.25,27600.115
318,210100.0,228449.75,7100.5684
319,361400.0,302796.3,11108.16
320,84800.0,106379.125,8352.678
321,268400.0,250851.2,11886.149
322,67500.0,181977.34,6625.4614
323,212800.0,193973.22,6399.6133
324,181900.0,160762.02,7010.0605
325,146900.0,130730.73,10672.233
326,156700.0,129311.92,11477.209
327,275000.0,330999.75,23918.3
328,217500.0,262772.94,12655.756
329,254200.0,226618.16,12993.434
330,243800.0,252658.6,14519.0205
331,148100.0,210025.05,8756.915
332,247900.0,270339.7,9217.597
333,114800.0,123797.9,10634.273
334,104200.0,151878.89,14910.041
335,135300.0,188337.53,8775.197
336,435000.0,356149.6,27996.398
337,246000.0,228847.5,6870.5376
338,177800.0,161535.6,7896.144
339,87500.0,109087.21,10620.661
340,194100.0,197002.98,10493.586
341,136100.0,182386.31,9275.289
342,132000.0,129331.14,6494.9375
343,156600.0,233058.4,13076.669
344,100000.0,122311.586,9980.105
345,211600.0,219909.5,5031.5337
346,303800.0,232986.1,5371.594
347,174000.0,218429.97,9441.547
348,293100.0,332220.1,15291.307
349,316700.0,400717.2,21777.943
350,160100.0,215390.95,9223.794
351,135700.0,143579.8,7159.468
352,207200.0,241445.16,9039.799
353,118800.0,157374.64,10235.102
354,320800.0,239433.38,9235.354
355,427200.0,309967.0,23836.99
356,182100.0,162238.84,5768.4033
357,218200.0,211070.5,10951.983
358,292000.0,325160.25,11398.003
359,95800.0,111642.414,10020.605
360,289600.0,290220.44,21338.135
361,500001.0,205993.83,6841.9653
362,115300.0,124675.95,6652.0605
363,404000.0,358933.22,25774.549
364,219000.0,214993.8,8995.431
365,342000.0,261824.25,12786.898
366,208100.0,210733.66,7475.4004
367,137500.0,221631.67,10367.9375
368,229300.0,253161.3,4841.679
369,264700.0,252259.6,8398.763
370,218800.0,128339.19,18329.684
371,289800.0,300342.22,8521.196
372,192500.0,196448.62,5904.082
373,307400.0,255201.4,13610.513
374,128500.0,169796.9,13610.969
375,193000.0,215439.47,6222.2563
376,154200.0,200376.47,6897.3394
377,96700.0,140695.72,15094.056
378,269400.0,257785.66,10145.2295
379,110400.0,142675.95,6347.493
380,350000.0,346389.5,26922.705
381,133700.0,186349.84,11783.184
382,232700.0,248334.67,16586.66
383,187500.0,157224.42,8746.899
384,251300.0,233681.45,10271.024
385,278100.0,255542.28,10625.951
386,192300.0,190507.05,7401.6387
387,43100.0,77882.016,15918.866
388,54300.0,96263.266,11778.232
389,157600.0,173095.0,4878.236
390,147600.0,175463.33,9333.289
391,60000.0,112257.3,8845.973
392,175000.0,232591.8,8173.0596
393,500001.0,268637.75,19028.867
394,132000.0,156952.88,12055.127
395,165600.0,134072.7,15096.496
396,265400.0,300729.84,11645.286
397,327800.0,318102.38,18811.453
398,153100.0,163407.73,9279.478
399,190300.0,170056.17,5850.192
400,113700.0,135317.11,5486.9297
401,470500.0,444534.75,25786.547
402,409000.0,382481.44,21905.918
403,283300.0,359538.34,16940.152
404,278500.0,259969.6,17794.758
405,500001.0,278864.3,29941.922
406,209500.0,206010.47,7243.4673
407,500001.0,332867.8,18259.96
408,199100.0,189771.1,6112.0645
409,74400.0,95283.02,12742.058
410,47500.0,92029.74,11056.524
411,228900.0,270774.66,8548.439
412,343900.0,326944.5,12539.718
413,65300.0,88185.125,11150.486
414,238700.0,254934.55,6165.5864
415,355100.0,269739.25,20910.748
416,132200.0,138628.45,7629.4604
417,94500.0,141130.45,9048.685
418,72300.0,98583.39,10576.718
419,105800.0,118889.15,15811.77
420,114300.0,138618.45,6612.394
421,500001.0,225063.17,8940.948
422,156300.0,150427.45,11866.383
423,473400.0,398489.7,20273.812
424,148800.0,127336.234,7400.447
425,152100.0,235152.58,7899.809
426,195500.0,226958.25,9417.476
427,194800.0,224610.55,9268.634
428,199600.0,239388.95,10733.13
429,465700.0,412624.8,37569.438
430,223900.0,251863.25,13622.096
431,344400.0,187252.36,8478.12
432,97600.0,125209.67,8492.208
433,123800.0,148021.4,13100.185
434,159900.0,183101.28,5218.0044
435,471300.0,343925.06,22705.111
436,228500.0,232313.45,7305.1636
