,Key,Mean,Std
0,Median_Income > 0.46,143920.9289068405,11367.60547775918
1,-0.64 < Distance_to_coast <= -0.41,14212.077691634895,2091.5141743534487
2,-0.39 < Distance_to_LA <= 1.04,-11994.128987034414,5377.531872419617
3,Distance_to_SanJose <= -1.09,9257.046614944988,4526.06400080235
4,Median_Age <= -0.85,-6891.883675374469,1888.5294480507312
5,-0.64 < Latitude <= 0.97,3858.807775560378,3058.3462996338244
6,Distance_to_SanFrancisco <= -1.08,5007.885010988989,3227.5811292805056
7,Longitude <= -1.11,5053.966203620865,4137.024345217262
8,-0.63 < Distance_to_SanDiego <= 1.06,2010.7890469618783,1948.3891195063934
9,Population > 0.27,-6901.062158195593,5576.10431310711
10,-0.23 < Households <= 0.28,358.60394627245154,1924.3106887703302
11,-0.24 < Tot_Bedrooms <= 0.26,675.3022047910712,2398.5546246492795
12,Tot_Rooms > 0.24,4784.753192669028,4575.542136381315
13,Median_Income <= -0.69,-85179.62330298153,8006.46652672034
14,Distance_to_coast > 0.19,-67411.65397250456,6731.666778890287
15,Median_Age > 0.66,8029.218683558004,2618.248023549146
16,-0.39 < Distance_to_LA <= 1.04,-12112.683021336508,5381.808740476318
17,-0.56 < Population <= -0.22,2610.5266706490693,3083.110526594898
18,-1.08 < Distance_to_SanFrancisco <= 0.56,508.46503741834624,2529.402916782274
19,-0.54 < Tot_Rooms <= -0.23,-3227.1082507712463,3339.6918280597356
20,-1.11 < Longitude <= 0.54,1336.4027338151484,2500.5324707926716
21,-0.64 < Latitude <= 0.97,3730.3987799387787,2674.3027466807916
22,-1.09 < Distance_to_SanJose <= 0.51,929.9224413892814,3346.081148490089
23,-0.58 < Tot_Bedrooms <= -0.24,-3827.0843893274478,3278.448333702986
24,-0.57 < Households <= -0.23,-800.1838325020726,2441.7294974094343
25,-0.63 < Distance_to_SanDiego <= 1.06,1951.0111481788722,2342.1470001589537
26,-0.18 < Median_Income <= 0.46,-9209.038347255244,2858.685828956541
27,0.51 < Distance_to_SanJose <= 0.77,-3609.1671179587297,2843.993925357574
28,-0.80 < Latitude <= -0.64,9389.907464144659,3989.6021360088343
29,-0.41 < Distance_to_coast <= 0.19,6229.130470694705,3339.067546781427
30,-0.85 < Median_Age <= 0.02,-4292.778914241305,2555.524465344297
31,Tot_Bedrooms > 0.26,7848.751805789198,6064.360379453203
32,-0.96 < Distance_to_LA <= -0.39,-2430.6829189000655,3082.685289488092
33,Population > 0.27,-7144.103879543232,6514.256001163681
34,Tot_Rooms > 0.24,4886.909363402685,5054.192181408899
35,Households > 0.28,1637.492139909675,3048.4247949393284
36,-0.83 < Distance_to_SanDiego <= -0.63,-173.6326372455817,2669.382466284853
37,Longitude > 0.78,-4745.79116725757,3983.2792378400886
38,0.56 < Distance_to_SanFrancisco <= 0.79,-1740.0499831876016,2930.8063112661207
39,-0.18 < Median_Income <= 0.46,-9687.276167874705,2626.163884703604
40,-0.64 < Distance_to_coast <= -0.41,13936.696122222065,2853.220570484716
41,Distance_to_SanJose > 0.77,-6922.967995711212,4026.3587768686484
42,Latitude <= -0.80,10926.397171256027,5555.856309736293
43,Distance_to_SanDiego <= -0.83,-4181.452438073478,3599.625593879179
44,-0.24 < Tot_Bedrooms <= 0.26,831.0852408704532,3293.704046258583
45,Longitude > 0.78,-5174.521247973479,3505.7227067077415
46,-0.23 < Households <= 0.28,-12.690605736536076,2520.7596927162654
47,Distance_to_SanFrancisco > 0.79,-4502.012705457596,3753.71040220224
48,-0.96 < Distance_to_LA <= -0.39,-2195.421756041666,3063.1495236678265
49,-0.22 < Population <= 0.27,-4238.276958060046,4049.336713892664
50,-0.23 < Tot_Rooms <= 0.24,1523.6038311707084,2995.345258878444
51,0.02 < Median_Age <= 0.66,3872.3724058904236,2894.6855687488514
52,Median_Income > 0.46,143847.04351130343,11149.399384016671
53,Latitude > 0.97,-24754.031908336037,8210.362460165137
54,-0.41 < Distance_to_coast <= 0.19,6134.987413594289,2563.0013830987023
55,Distance_to_LA > 1.04,-11605.469294011364,4674.316640628121
56,-0.85 < Median_Age <= 0.02,-4323.2589310759795,1706.1929137628333
57,Distance_to_SanFrancisco <= -1.08,4631.302330869206,3209.3698198804104
58,Longitude <= -1.11,4818.790056738171,4054.734446300577
59,-1.09 < Distance_to_SanJose <= 0.51,656.5142228210718,2470.036503843218
60,Distance_to_SanDiego > 1.06,2316.202997255126,2063.6992276323476
61,-0.58 < Tot_Bedrooms <= -0.24,-3381.9579241331276,3047.9425956381688
62,-0.57 < Households <= -0.23,-782.1622778288687,1493.2708524069053
63,-0.54 < Tot_Rooms <= -0.23,-3219.5424538456386,3606.0339487826504
64,-0.56 < Population <= -0.22,2469.351681429534,2496.936419244163
65,Median_Income <= -0.69,-85392.78632483058,8300.561887027756
66,Distance_to_LA <= -0.96,25582.88785694321,9509.225441553719
67,-0.64 < Distance_to_coast <= -0.41,13734.684207431705,2491.312459747496
68,0.51 < Distance_to_SanJose <= 0.77,-3211.2165124379835,2613.205891416187
69,-0.56 < Population <= -0.22,2634.897627590356,3155.7222303542503
70,0.02 < Median_Age <= 0.66,3263.3945018488293,2378.726219873655
71,-0.80 < Latitude <= -0.64,9544.306066903777,4038.162337620389
72,-0.58 < Tot_Bedrooms <= -0.24,-3667.062439199716,3501.9522985041344
73,0.54 < Longitude <= 0.78,-1798.7885802346918,2708.677836156863
74,0.56 < Distance_to_SanFrancisco <= 0.79,-2092.1901075110923,2849.569410334236
75,-0.83 < Distance_to_SanDiego <= -0.63,-322.5700718217046,2260.9434343367243
76,-0.57 < Households <= -0.23,-905.4436825900741,2661.229251730421
77,-0.54 < Tot_Rooms <= -0.23,-3164.1773017033265,3818.019484712566
78,-0.69 < Median_Income <= -0.18,-49433.03256163969,4679.790235242457
79,Distance_to_LA <= -0.96,24916.732141290595,9492.006250004311
80,Distance_to_SanJose > 0.77,-7359.474393088232,4230.400066203033
81,Latitude <= -0.80,11029.908656456497,5240.733834956659
82,-0.41 < Distance_to_coast <= 0.19,6168.702212392038,3362.2646919354324
83,Distance_to_SanDiego <= -0.83,-3905.2836576515374,3267.789048304156
