,Key,Mean,Std
0,Latitude <= -0.80,109.03122496998779,1040.3333936088698
1,-0.22 < Population <= 0.27,152.18494372661522,932.721386142599
2,Median_Age > 0.66,585.69445108294,930.2006989951651
3,-0.58 < Tot_Bedrooms <= -0.24,67.5560915470132,1139.0696123699606
4,-0.64 < Distance_to_coast <= -0.41,-272.68715278196584,557.5421772540284
5,-0.54 < Tot_Rooms <= -0.23,-432.77168712026577,1156.1597656130537
6,0.54 < Longitude <= 0.78,-174.4128816889576,749.8578363248811
7,-0.69 < Median_Income <= -0.18,-485.7421590470834,564.9553312361151
8,0.56 < Distance_to_SanFrancisco <= 0.79,9.179383825734174,953.8209530251847
9,-0.83 < Distance_to_SanDiego <= -0.63,-142.03973204094845,1218.6143828760987
10,-0.57 < Households <= -0.23,-119.21716418222016,953.8470832473447
11,0.51 < Distance_to_SanJose <= 0.77,122.31102259357483,731.709200189089
12,Distance_to_LA <= -0.96,-1087.0976019116301,1898.7622737414756
13,Median_Age > 0.66,535.9821412407578,890.6449451931718
14,-0.56 < Population <= -0.22,-11.853074633133321,1013.4624194037586
15,-0.64 < Distance_to_coast <= -0.41,-235.23859684149966,605.2463619916339
16,-0.58 < Tot_Bedrooms <= -0.24,140.28429224642008,1205.0495063019096
17,-0.54 < Tot_Rooms <= -0.23,-465.1652422379485,1105.2850777715514
18,-0.57 < Households <= -0.23,-133.17395007616557,945.3405745585324
19,-0.69 < Median_Income <= -0.18,-568.7209887033682,651.0425723535852
20,0.54 < Longitude <= 0.78,-182.1826605753043,826.5941005162467
21,0.51 < Distance_to_SanJose <= 0.77,167.20007418311988,783.0005909516223
22,-0.80 < Latitude <= -0.64,-82.14704144388453,558.7423778531504
23,Distance_to_LA <= -0.96,-1165.1920596905961,1923.8546329800527
24,-0.83 < Distance_to_SanDiego <= -0.63,-140.6090512293664,1291.6905644056149
25,0.56 < Distance_to_SanFrancisco <= 0.79,-8.049992020722863,942.3764619831169
26,Latitude <= -0.80,134.02955376189408,1079.3367224935166
27,-0.56 < Population <= -0.22,-6.695512215195146,976.6063490790326
28,-0.58 < Tot_Bedrooms <= -0.24,96.34074362616923,1202.3553143407871
29,-0.54 < Tot_Rooms <= -0.23,-467.8327953318647,1148.1190158092545
30,0.02 < Median_Age <= 0.66,67.12534912189457,599.8197808231707
31,-0.64 < Distance_to_coast <= -0.41,-219.8024064524583,535.1513963273059
32,-0.69 < Median_Income <= -0.18,-580.8740316409239,628.3675520401076
33,0.56 < Distance_to_SanFrancisco <= 0.79,-16.247569550917348,917.9505003272889
34,-0.57 < Households <= -0.23,-74.95151891454819,928.7432177677969
35,Distance_to_SanDiego <= -0.83,665.5868519509988,2036.468967073772
36,Distance_to_LA <= -0.96,-1111.4482316632682,1920.9051519324996
37,0.51 < Distance_to_SanJose <= 0.77,129.49308236751747,753.9306376667103
38,0.54 < Longitude <= 0.78,-209.5730166085727,733.7760365128154
39,Latitude <= -0.80,152.43459445547958,994.686094241408
40,Tot_Bedrooms > 0.26,-309.70928224073,2093.00289398014
41,0.54 < Longitude <= 0.78,-97.01683365837314,791.41709902592
