,Key,Mean,Std
0,Median_Income > 0.46,144533.51903699705,10152.965337406464
1,-0.39 < Distance_to_LA <= 1.04,-11656.71869215272,4596.75730310587
2,Distance_to_SanFrancisco <= -1.08,4832.549001916398,3312.6416821190955
3,Population > 0.27,-5655.4401533407345,5431.55739200097
4,Distance_to_SanJose <= -1.09,8638.722945144842,3727.0368426106943
5,-0.64 < Latitude <= 0.97,3480.309750752908,2394.0513079654306
6,-0.64 < Distance_to_coast <= -0.41,14158.512960818112,2471.1433634936457
7,Longitude <= -1.11,4941.716361865343,3719.639531219122
8,Median_Age <= -0.85,-7181.903827520228,1973.7297242013215
9,Tot_Rooms > 0.24,3844.281710424526,4573.205618777031
10,-0.23 < Households <= 0.28,192.78102539549405,1865.1338953587094
11,-0.24 < Tot_Bedrooms <= 0.26,186.90959168535858,2228.7151424006306
12,-0.63 < Distance_to_SanDiego <= 1.06,2129.7766783035117,2088.2132909326924
13,Median_Income <= -0.69,-85629.6467853676,7501.0788119963145
14,Distance_to_coast > 0.19,-67042.09295557083,6922.93545733579
15,-0.39 < Distance_to_LA <= 1.04,-11653.329579556721,4955.3887932918005
16,Median_Age > 0.66,7286.843654831055,2994.8893854623634
17,-0.56 < Population <= -0.22,2541.5843673658283,2821.281447968009
18,-0.58 < Tot_Bedrooms <= -0.24,-3377.9965394509063,2893.6699967144064
19,-0.54 < Tot_Rooms <= -0.23,-2471.6832707826243,3321.8852346470107
20,-0.64 < Latitude <= 0.97,3783.9842357409098,3064.951896611869
21,-1.11 < Longitude <= 0.54,1469.6903786447535,2271.8368883222033
22,-1.09 < Distance_to_SanJose <= 0.51,2236.322843645331,2305.48233353616
23,-0.63 < Distance_to_SanDiego <= 1.06,2204.1701358571627,2456.5975256818374
24,-0.57 < Households <= -0.23,-1028.9779307025428,2678.1793909902935
25,-1.08 < Distance_to_SanFrancisco <= 0.56,613.3193170571133,2428.5052235484545
26,Tot_Bedrooms > 0.26,7433.664253480529,5201.769887242941
27,-0.18 < Median_Income <= 0.46,-9117.462290980791,2627.9018071710157
28,Population > 0.27,-5258.788590548819,6249.352651588239
29,Tot_Rooms > 0.24,4588.0722950047075,5406.57317936814
30,-0.41 < Distance_to_coast <= 0.19,6113.825297886734,2786.7938097919578
31,-0.85 < Median_Age <= 0.02,-4266.214709326722,2691.6688554042476
32,-0.80 < Latitude <= -0.64,8721.687874173058,3722.796637963996
33,Longitude > 0.78,-5000.533331762226,3578.858561746451
34,0.51 < Distance_to_SanJose <= 0.77,-3232.6337330787014,3111.974602207283
35,-0.83 < Distance_to_SanDiego <= -0.63,-314.2029013723574,2575.837120082029
36,-0.96 < Distance_to_LA <= -0.39,-1860.1344717797788,2884.759639819633
37,Households > 0.28,1581.3066489405999,3238.410463860747
38,0.56 < Distance_to_SanFrancisco <= 0.79,-1844.3892025650064,2912.663089342806
39,Latitude <= -0.80,9532.976860825202,5294.579497286281
40,-0.64 < Distance_to_coast <= -0.41,14200.445290873782,2958.707902363645
41,Distance_to_SanJose > 0.77,-7409.3792459872375,3705.459302641032
42,-0.18 < Median_Income <= 0.46,-9359.689903922239,2456.246251762577
43,-0.96 < Distance_to_LA <= -0.39,-2250.1951370247725,3227.1585912825635
44,-0.22 < Population <= 0.27,-3786.3537635843722,4105.876216862787
45,Distance_to_SanDiego <= -0.83,-4250.535095433441,3733.275674408023
