,Feature,Mean,Std
0,Median_Income,-61975.030725477416,11014.3095873305
1,Median_Age,-37532.72131583658,7094.7140362214195
2,Tot_Rooms,-558.150890028212,1865.3864124728277
3,Tot_Bedrooms,-1195.5024334309894,2272.9954421837297
4,Population,667.8559220920141,1327.7085731099469
5,Households,-623.9202243923612,1808.059453038263
6,Latitude,7866.2887747938385,5254.757116165785
7,Longitude,-3431.3938642849403,4645.367709578841
8,Distance_to_coast,85780.7965919325,19735.005324412392
9,Distance_to_LA,1673.8392848849824,4518.464627859525
10,Distance_to_SanDiego,604.9619603949652,2362.13170671975
11,Distance_to_SanJose,10157.710056722008,9592.725822855291
12,Distance_to_SanFrancisco,6462.185739583333,9729.291779361518
13,Median_Income,-215257.46045079213,22063.23456642376
14,Median_Age,-1608.0221734754766,2676.0645052758746
15,Tot_Rooms,-4791.411264539931,4399.115674972337
16,Tot_Bedrooms,-6646.425397786457,5132.784825453709
17,Population,3193.661190755208,3930.766243189722
18,Households,-3310.7912227105035,3685.199209208274
19,Latitude,-301.72399978298665,3352.9471825415394
20,Longitude,545.5260387912327,3608.7568274232012
21,Distance_to_coast,1644.721392144098,2818.4634714395315
22,Distance_to_LA,1019.7726922471786,3364.868726013638
23,Distance_to_SanDiego,132.30223665364593,2267.659311109161
24,Distance_to_SanJose,1000.6451659071172,4234.071043688267
25,Distance_to_SanFrancisco,2095.6303336046017,5647.073390327386
26,Median_Income,-200077.29116387255,14628.392659010311
27,Median_Age,-8652.140880045574,4705.490056444718
28,Tot_Rooms,-359.6785013020834,952.9125956853082
29,Tot_Bedrooms,-392.4517096354167,1537.9835039286509
30,Population,1183.6818500976565,2170.7054389959253
31,Households,-192.24381418185763,783.7880306647293
32,Latitude,5600.099872667101,4637.904817211309
33,Longitude,-308.30746497938253,4411.800858696656
34,Distance_to_coast,77755.94028114149,12846.99324939636
35,Distance_to_LA,13806.10103735351,7917.365197897106
36,Distance_to_SanDiego,-4275.85341379123,4469.3137152234995
37,Distance_to_SanJose,1937.3751666124124,4376.478207810386
38,Distance_to_SanFrancisco,4257.266523139106,7893.735410699679
39,Median_Income,-204619.1314420573,14231.793143547184
40,Median_Age,-4046.903180881075,3741.071316205502
41,Tot_Rooms,-1674.272702690972,3155.9392469858135
42,Tot_Bedrooms,-2969.0182305772573,3832.942005667835
43,Population,2866.1042241753485,3913.9683756629533
44,Households,-1279.4611593424481,2632.9303736002216
45,Latitude,8936.954372721357,6001.049336394826
46,Longitude,-2318.881483181424,4891.126491276473
47,Distance_to_coast,83117.22682362195,13547.843674274918
48,Distance_to_LA,11953.069572591148,7409.631516288439
49,Distance_to_SanDiego,-4639.514613661026,4528.175112292941
50,Distance_to_SanJose,2161.6010749782986,4308.982389941316
51,Distance_to_SanFrancisco,4412.75089469401,7754.585346798865
52,Median_Income,-110725.88797531468,13933.55771889224
53,Median_Age,-28743.492904541014,7179.705637755486
54,Tot_Rooms,-4111.601851291234,3536.418381077751
55,Tot_Bedrooms,-3521.629050238714,3857.7426567704183
56,Population,3947.354971299913,4897.070486401235
57,Households,-685.3460852593317,1195.0450605611659
58,Latitude,1305.7659704861112,2952.8401371702785
59,Longitude,3223.5722862141924,5785.518344885783
60,Distance_to_coast,79786.81251839193,16099.165733510301
61,Distance_to_LA,3050.346788248698,5923.276241904113
62,Distance_to_SanDiego,1007.7774280598958,2878.0841397159875
63,Distance_to_SanJose,3130.6895519476993,5938.298901825406
64,Distance_to_SanFrancisco,6033.119924262153,9406.988348467366
65,Median_Income,-245764.75008645296,17706.159070474027
66,Median_Age,-2173.077440321181,2931.4161042832898
67,Tot_Rooms,-4354.514159342446,4709.0470604115235
68,Tot_Bedrooms,-9180.025938259552,6110.018475631741
69,Population,7485.3577764756965,7348.594639271806
70,Households,-3767.4615381944445,4270.24063635233
71,Latitude,11666.85031548394,4843.914234909167
72,Longitude,-1397.7329890407982,3304.9828783955313
73,Distance_to_coast,75667.47899603947,13092.399229645378
74,Distance_to_LA,22385.02330579969,10265.38666138884
75,Distance_to_SanDiego,-4628.785756727431,3550.6061106418015
76,Distance_to_SanJose,2359.199968695746,3877.107396753681
77,Distance_to_SanFrancisco,3633.000172797309,5940.838292600299
