,Feature,Mean,Std
0,Median_Income,6296.588291232637,5861.272594027264
1,Median_Age,2686.9878638780383,5770.188311798545
2,Tot_Rooms,-1196.4558892686634,7590.926801649837
3,Tot_Bedrooms,1372.712576768663,8477.529513184647
4,Population,1681.589290093317,4351.204855223166
5,Households,-827.1091001519096,6408.427532645121
6,Latitude,-6340.191569444443,12056.179337097332
7,Longitude,-3065.4914121636293,7250.597313503578
8,Distance_to_coast,-1817.2720226236966,11302.892245672381
9,Distance_to_LA,-6917.827003472221,9504.932414792456
10,Distance_to_SanDiego,-9810.049938151042,13145.392372582926
11,Distance_to_SanJose,1800.1774039171007,10062.14899580277
12,Distance_to_SanFrancisco,-697.5207640516494,8295.93518467165
13,Median_Income,6863.863278266062,9762.09362816531
14,Median_Age,-428.47863585069456,2560.748032266799
15,Tot_Rooms,-3156.2292507595484,9468.874420868371
16,Tot_Bedrooms,1777.0394195421006,8637.38073160192
17,Population,1341.5456404079862,5699.0373171908905
18,Households,-725.6969622938363,7227.6321078427045
19,Latitude,-7494.981675998264,12214.953290416683
20,Longitude,-4252.242106445313,8208.218075910188
21,Distance_to_coast,1124.4155444335945,7682.716064692614
22,Distance_to_LA,-6973.265236273874,9748.809842209545
23,Distance_to_SanDiego,-9292.62494140625,13101.117605535239
24,Distance_to_SanJose,3801.825359809028,7341.0245816890665
25,Distance_to_SanFrancisco,438.92862125651055,7411.3460718401
26,Median_Income,5512.236037597659,6666.119271954959
27,Median_Age,1239.077277777778,5023.237306355322
28,Tot_Rooms,-2211.0031578776043,7518.50597766281
29,Tot_Bedrooms,1430.8309204101563,7267.437006824097
30,Population,1468.3833912217883,4173.208991297653
31,Households,-831.7007761501734,5606.336455613842
32,Latitude,-4923.47197124566,12713.032472041188
33,Longitude,-3555.3527552625865,8992.753734157743
34,Distance_to_coast,758.195165527344,9407.081645783966
35,Distance_to_LA,-6622.3685061848955,10957.530288628519
36,Distance_to_SanDiego,-10124.057949001737,13858.87785032716
37,Distance_to_SanJose,1110.8372556423612,6373.178045255167
38,Distance_to_SanFrancisco,-812.3539246419268,6972.33603316094
39,Median_Income,3923.293461751303,5776.864319580708
40,Median_Age,114.93938053385413,3528.3012609095285
41,Tot_Rooms,-2229.130982476128,8185.216351643814
42,Tot_Bedrooms,2430.823790798611,7672.038731219438
43,Population,1052.0011163736976,5419.538318380117
44,Households,-666.9846710611977,6296.5356632060675
45,Latitude,-3963.2615323893224,12025.932463043211
46,Longitude,-4541.795985405815,8628.25815685353
47,Distance_to_coast,1135.4950575629343,9809.085595006303
48,Distance_to_LA,-6617.784190375432,10024.360706749647
49,Distance_to_SanDiego,-9419.078573513452,13723.380750625489
50,Distance_to_SanJose,1847.1586905381944,6030.745612104333
51,Distance_to_SanFrancisco,-395.9460388997396,7138.75348477391
52,Median_Income,8527.058655110679,7688.788441268524
53,Median_Age,1489.845651475695,6292.037222167616
54,Tot_Rooms,-1955.2660485026045,9647.339827412081
55,Tot_Bedrooms,1071.4702509765623,8953.849228437364
56,Population,1206.4826246202254,6329.289707663998
57,Households,-1447.599434461805,6585.385420648397
58,Latitude,-6100.733807942708,11248.852648503673
59,Longitude,-919.9530375976565,5046.608000066529
60,Distance_to_coast,-2401.4330403645827,12377.05589732396
61,Distance_to_LA,-7142.650077745224,9279.329051613455
62,Distance_to_SanDiego,-10011.147256456163,12213.449669924532
63,Distance_to_SanJose,3137.043234374999,7750.071348013177
64,Distance_to_SanFrancisco,-276.1770572374131,7365.948315723741
65,Median_Income,6466.732015570746,9732.112094264694
66,Median_Age,-21.53392567274326,3201.996725076449
67,Tot_Rooms,-2130.648114583333,8416.261318325796
68,Tot_Bedrooms,2060.5133842230907,8252.662521120406
69,Population,1603.3253033854169,6093.441786219102
70,Households,-1361.2978318142361,6608.854587664521
71,Latitude,-4887.189380533852,11791.747313078087
72,Longitude,-4368.185458387587,7718.150670554414
73,Distance_to_coast,114.85395703125027,9249.300560204665
74,Distance_to_LA,-6881.608427300349,9927.463438698636
75,Distance_to_SanDiego,-9482.526080403644,13629.425688019453
76,Distance_to_SanJose,2168.3184653862845,5772.332369642337
77,Distance_to_SanFrancisco,3.633624348958409,6366.661123378799
