,y_test,mean_predict,predicted_uncertainty
1112,204600.0,207582.7,3081.6858
2904,201600.0,207054.83,3192.1567
4006,206100.0,206854.34,3194.3813
664,203500.0,208812.78,3211.9106
2886,207200.0,209905.8,3221.5713
3861,251200.0,219022.62,3313.7546
1902,170300.0,210339.9,3411.3389
255,289900.0,220296.84,3492.7998
2868,202200.0,210058.8,3492.8296
140,285400.0,208350.19,3551.1133
2257,301900.0,249102.6,3636.4573
3138,190300.0,191483.28,3657.0493
196,187100.0,206022.83,3686.9348
1337,160800.0,216371.05,3692.999
3391,195300.0,215339.25,3735.7275
2503,168800.0,216111.84,3791.885
3535,197200.0,197963.83,3843.6775
933,269300.0,220122.62,3854.586
3199,136200.0,195295.17,3860.1443
2165,186600.0,224191.25,3877.9314
1636,200900.0,200755.28,3889.4072
1444,210400.0,207569.75,3903.3162
1880,224700.0,206438.75,3918.2393
3806,278300.0,215124.95,3921.9216
521,202900.0,206949.58,3944.6643
2638,219500.0,204340.28,3956.5244
3385,189200.0,201834.22,4020.6226
2146,210200.0,199288.34,4054.6462
1761,244000.0,240897.75,4057.0962
2269,199300.0,189147.12,4064.9758
3119,202100.0,213940.38,4078.3684
630,219900.0,204512.22,4078.969
79,190100.0,215458.75,4090.4275
2359,204000.0,217025.25,4120.182
2600,255500.0,222625.4,4134.3413
1753,173500.0,218806.33,4139.6235
1561,135400.0,190153.72,4179.572
1251,161800.0,245420.25,4187.077
3314,268100.0,217803.66,4217.9053
1658,318700.0,241055.58,4223.2627
3423,183200.0,180624.62,4282.3335
3740,194600.0,195824.89,4288.5273
2516,134600.0,190685.66,4301.121
1916,113600.0,186048.3,4325.3667
2277,137500.0,201794.83,4345.4893
2775,233900.0,261811.97,4354.9507
1673,168200.0,178545.58,4376.0005
3066,191100.0,213479.83,4383.8438
3324,139000.0,209822.97,4391.4565
2038,500001.0,231329.05,4398.6406
765,205100.0,237847.88,4407.6313
572,214500.0,200046.1,4408.299
3,183400.0,194073.67,4412.804
826,184500.0,156352.45,4427.545
2799,210700.0,219041.0,4428.6216
2804,188000.0,209005.72,4431.9204
974,193800.0,225150.88,4432.0625
771,206700.0,213881.8,4437.7383
3705,139200.0,162607.62,4442.2354
2564,131900.0,177581.42,4445.742
3240,162400.0,216047.78,4456.616
1752,267600.0,254594.95,4488.151
2305,275700.0,168493.62,4488.307
3939,195800.0,199050.42,4493.772
3175,182600.0,189261.77,4495.674
42,247300.0,232741.7,4501.2573
1978,213000.0,199731.6,4522.307
3516,218800.0,204653.64,4525.182
1475,223900.0,195079.53,4533.676
1592,206700.0,217021.17,4541.3364
3104,215700.0,238800.75,4544.4326
307,230400.0,225263.88,4565.208
608,260000.0,189666.92,4576.624
197,172800.0,212470.17,4582.9873
2110,162000.0,208288.25,4604.441
1145,148300.0,198350.7,4616.842
1098,261600.0,212878.08,4620.789
2739,183600.0,179584.7,4625.984
241,201400.0,218147.55,4628.3555
3920,140600.0,180259.67,4639.9277
240,157500.0,188025.08,4659.335
2599,434700.0,211706.55,4676.798
3099,236100.0,230876.9,4699.994
3632,237300.0,228314.55,4705.481
1227,267100.0,217954.84,4705.687
1131,199200.0,218636.45,4717.4614
1273,270300.0,200748.78,4722.733
3415,193800.0,177362.58,4724.5103
3430,283200.0,263083.8,4730.19
2907,174200.0,212925.34,4740.718
3867,242100.0,137822.08,4753.509
2847,195000.0,205368.45,4757.5444
2554,237400.0,189223.5,4759.0127
122,272200.0,201626.28,4759.6147
3088,206900.0,205865.6,4760.5264
1741,263300.0,213144.12,4766.913
2710,160600.0,192338.1,4770.0596
3359,223700.0,210928.38,4772.8457
2075,225600.0,212796.83,4777.6094
2718,282000.0,199715.22,4778.622
3536,174400.0,188153.1,4796.006
1004,202400.0,193510.47,4796.05
745,187300.0,191731.5,4800.818
1161,198900.0,160723.22,4800.84
3980,183100.0,212446.97,4808.1064
114,500001.0,196291.94,4809.8774
1528,254000.0,231848.7,4812.303
3626,239700.0,206437.97,4820.8633
3506,213800.0,193348.4,4824.026
742,166400.0,194977.58,4833.5093
368,229300.0,253161.3,4841.679
1485,184100.0,173703.8,4863.5137
2514,235400.0,243425.66,4865.411
2158,156300.0,175797.22,4868.7046
1961,186600.0,200442.17,4871.4727
2343,264600.0,216908.53,4875.2383
612,231400.0,228953.28,4876.9263
389,157600.0,173095.0,4878.236
